country,number_per_100_000_of_the_population,the_geom,cartodb_id,created_at,updated_at
Japan,1197,,1,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Sweden,995,,2,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Italy,908,,3,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
France,887,,4,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Norway,813,,6,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Spain,778,,7,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Denmark,720,,8,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Finland,710,,9,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
United States,666,,10,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Australia,633,,11,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Germany,592,,12,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
New Zealand,573,,13,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Iceland,499,,14,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Slovenia,452,,15,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Czech Republic,377,,16,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Bulgaria,351,,17,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
Croatia,302,,18,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
China,121,,19,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
India,58,,20,2013-09-27 14:54:45.614155,2013-09-27 14:54:45.862011
United Kingdom,823,,5,2013-09-27 14:54:45.614155,2013-09-27 15:05:18.652213
